OccMain,OccSub,OccMid,OccMinor,1985,1990,1995,2000,2005,MainTitle,MidTitle,MinorTitle
A,10,101,1001,1985001,1990001,1995001,2000001,2005001,SPECIALIST AND TECHNICAL WORKERS,SCIENCE RESEARCHERS,Natural science researchers
A,10,101,1002,1985002,1990002,1995002,2000002,2005002,,,"Humanities, social science researchers"
A,10,102,1003,1985010,1990003,1995003,2000003,2005003,,ENGINEERS AND TECHNICIANS,"Agriculture, forestry, fisheries and food technicians"
A,10,102,1004,1985003,1990004,1995004,2000004,2005004,,,Metal smelting technicians
A,10,102,1004,1985004,NA,NA,NA,NA,,,NA
A,10,102,1005,1985005,1990005,1995005,2000005,2005005,,,"Mechanical engineers, aircraft and shipbuilding technicians"
A,10,102,1006,1985006,1990006,1995006,2000006,2005006,,,Electrical and electronic engineers
A,10,102,1007,1985007,1990007,1995007,2000007,2005007,,,Chemical techinicians
A,10,102,1008,1985008,1990008,1995008,2000008,2005008,,,Architectural engineers
A,10,102,1009,1985009,1990009,1995009,2000009,2005009,,,Civil engineers and surveyors
A,10,102,1010,1985011,1990010,1995010,2000010,2005010,,,Computer processing technicians
A,10,102,1010,NA,NA,NA,NA,2005011,,,NA
A,10,102,1011,1985012,1990011,1995011,2000011,2005012,,,Other engineers and technicians
A,10,103,1012,1985013,1990012,1995012,2000012,2005013,,HEALTH CARE WORKERS,Doctors
A,10,103,1013,1985014,1990013,1995013,2000013,2005014,,,Dental surgeons
A,10,103,1014,1985015,1990014,1995014,2000014,2005015,,,Veterinary surgeons
A,10,103,1015,1985016,1990015,1995015,2000015,2005016,,,Pharmacists
A,10,103,1016,1985017,1990016,1995016,2000016,2005017,,,Public health nurses
A,10,103,1017,1985018,1990017,1995017,2000017,2005018,,,Midwives
A,10,103,1018,1985019,1990018,1995018,2000018,2005019,,,Nurses
A,10,103,1019,1985021,1990019,1995019,2000019,2005020,,,Diagnostic radiographers and X-ray technicians
A,10,103,1020,1985022,1990020,1995020,2000020,2005021,,,Clinical laboratory and medical technicians
A,10,103,1021,1985023,1990021,1995021,2000021,2005022,,,Dental hygienists
A,10,103,1022,1985024,1990022,1995022,2000022,2005023,,,Dental technicians
A,10,103,1023,1985020,1990023,1995023,2000023,2005024,,,Nutritionists
A,10,103,1024,1985025,1990024,1995024,2000024,2005025,,,"Masseurs, chiropractors, acupuncturists, moxacauterists and Judo-orthopedists"
A,10,103,1025,1985026,1990025,1995025,2000025,2005026,,,Other health care workers
A,10,104,1026,1985047,1990026,1995026,2000026,2005027,,SOCIAL WELFARE SPECIALIST PROFESSIONALS,Childcare workers
A,10,104,1027,1985048,1990027,1995027,2000027,2005028,,,Other social welfare specialist professionals
A,10,105,1028,1985027,1990028,1995028,2000028,2005029,,LEGAL WORKERS,"Judges, public prosecutors and attorneys"
A,10,105,1029,NA,NA,NA,2000029,2005030,,,NA
A,10,105,1029,1985028,1990029,1995029,2000030,2005031,,,Other legal workers
A,10,106,1030,1985029,1990030,1995030,2000031,2005032,,MANAGEMENT SPECIALISTS,Certified public accountants and licensed tax accountants
A,10,106,1031,NA,NA,NA,2000032,2005033,,,Certified social insurance and labor consultant
A,10,106,1032,NA,NA,NA,2000033,2005034,,,Other management specialists
A,10,107,1033,1985030,1990031,1995031,2000034,2005035,,TEACHERS,Kindergarten teachers
A,10,107,1034,1985031,1990032,1995032,2000035,2005036,,,Elementary school teachers
A,10,107,1035,1985032,1990033,1995033,2000036,2005037,,,Junior high school teachers
A,10,107,1036,1985033,1990034,1995034,2000037,2005038,,,Senior high school teachers
A,10,107,1037,1985034,1990035,1995035,2000038,2005039,,,University professors
A,10,107,1038,1985035,1990036,1995036,2000039,2005040,,,"Teachers at schools for the blind, deaf or handicapped"
A,10,107,1039,1985036,1990037,1995037,2000040,2005041,,,Other teachers
A,10,108,1040,1985037,1990038,1995038,2000041,2005042,,WORKERS IN RELIGION,Workers in religion
A,10,109,1041,1985038,1990039,1995039,2000042,2005043,,"WRITERS, JOURNALISTS AND EDITORS",Writers and authors
A,10,109,1042,1985039,1990040,1995040,2000043,2005044,,,Journalists and editors
A,10,110,1043,1985040,1990041,1995041,2000044,2005045,,"ARTISTS, PHOTOGRAPHERS AND DESIGNERS","Sculptors, painters and industrial artists"
A,10,110,1044,1985041,1990042,1995042,2000045,2005046,,,Designers
A,10,110,1045,1985042,1990043,1995043,2000046,2005047,,,Photographers
A,10,111,1046,1985043,1990044,1995044,2000047,2005048,,MUSICIANS AND STAGE DESIGNERS,Musicians (except for private lessons)
A,10,111,1047,1985044,1990045,1995045,2000048,2005049,,,Musicians (for private lessons)
