OccMain,OccSub,OccMid,OccMinor,OccCodeAgg,1985,1990,1995,2000,2005,ShortTitle,MainTitle,MidTitle,MinorTitle,MinorTitleLabel,,,,,,,
A,10,101,1001,Agg001,1985001,1990001,1995001,2000001,2005001,NS researchers,SPECIALIST AND TECHNICAL WORKERS,SCIENCE RESEARCHERS,Natural science researchers,Nat science researchers,,,,,,,
A,10,101,1002,Agg002,1985002,1990002,1995002,2000002,2005002,HSS researchers,,,"Humanities, social science researchers",HSS researchers,,,,,,,
A,10,102,1003,Agg003,1985010,1990003,1995003,2000003,2005003,AgFFF techniciana,,ENGINEERS AND TECHNICIANS,"Agriculture, forestry, fisheries and food technicians","AFF, food technicians",,,,,,,
A,10,102,1004,Agg004,1985003,1990004,1995004,2000004,2005004,Metal smelting technicians,,,Metal smelting technicians,Smelting tech,,,,,,,
A,10,102,1004,Agg004,1985004,NA,NA,NA,NA,NA,,,NA,NA,,,,,,,
A,10,102,1005,Agg005,1985005,1990005,1995005,2000005,2005005,Mechanical engineers,,,"Mechanical engineers, aircraft and shipbuilding technicians","Mech eng, air & ship tech",,,,,,,
A,10,102,1006,Agg006,1985006,1990006,1995006,2000006,2005006,,,,Electrical and electronic engineers,Electrical engineers,,,,,,,
A,10,102,1007,Agg007,1985007,1990007,1995007,2000007,2005007,Chemical techinicians,,,Chemical techinicians,Chemical technicians,,,,,,,
A,10,102,1008,Agg008,1985008,1990008,1995008,2000008,2005008,Architectural engineers,,,Architectural engineers,Architectural engineers,,,,,,,
A,10,102,1009,Agg009,1985009,1990009,1995009,2000009,2005009,Civil engineers and surveyors,,,Civil engineers and surveyors,"Civil eng, surveyors",,,,,,,
A,10,102,1010,Agg010,1985011,1990010,1995010,2000010,2005010,Computer processing technicians,,,Computer processing technicians,Comp proc technicians,,,,,,,
A,10,102,1010,Agg010,NA,NA,NA,NA,2005011,NA,,,NA,NA,,,,,,,
A,10,102,1011,Agg011,1985012,1990011,1995011,2000011,2005012,"Engineers, technicians NOC",,,Other engineers and technicians,Eng tech NEC,,,,,,,
A,10,103,1012,Agg012,1985013,1990012,1995012,2000012,2005013,Doctors,,HEALTH CARE WORKERS,Doctors,Physicians,,,,,,,
A,10,103,1013,Agg013,1985014,1990013,1995013,2000013,2005014,Dental surgeons,,,Dental surgeons,Dentists,,,,,,,
