"OccMain"	"OccSub"	"OccMid"	"OccMinor"	"OccCodeAgg"	"Gender"	"year"	"n"
"A"	10	101	1001	"Agg001"	"FEMALE"	1985	8187
"A"	10	101	1001	"Agg001"	"FEMALE"	1990	12341
"A"	10	101	1001	"Agg001"	"FEMALE"	1995	21596
"A"	10	101	1001	"Agg001"	"FEMALE"	2000	21084
"A"	10	101	1001	"Agg001"	"FEMALE"	2005	22240
"A"	10	101	1001	"Agg001"	"MALE"	1985	86322
"A"	10	101	1001	"Agg001"	"MALE"	1990	98023
"A"	10	101	1001	"Agg001"	"MALE"	1995	146028
"A"	10	101	1001	"Agg001"	"MALE"	2000	131258
"A"	10	101	1001	"Agg001"	"MALE"	2005	120245
"A"	10	101	1002	"Agg002"	"FEMALE"	1985	382
"A"	10	101	1002	"Agg002"	"FEMALE"	1990	804
"A"	10	101	1002	"Agg002"	"FEMALE"	1995	1716
"A"	10	101	1002	"Agg002"	"FEMALE"	2000	1514
"A"	10	101	1002	"Agg002"	"FEMALE"	2005	1253
"A"	10	101	1002	"Agg002"	"MALE"	1985	2850
"A"	10	101	1002	"Agg002"	"MALE"	1990	4940
"A"	10	101	1002	"Agg002"	"MALE"	1995	6621
"A"	10	101	1002	"Agg002"	"MALE"	2000	5574
"A"	10	101	1002	"Agg002"	"MALE"	2005	4722
"A"	10	102	1003	"Agg003"	"FEMALE"	1985	1890
"A"	10	102	1003	"Agg003"	"FEMALE"	1990	4505
"A"	10	102	1003	"Agg003"	"FEMALE"	1995	6065
"A"	10	102	1003	"Agg003"	"FEMALE"	2000	6943
"A"	10	102	1003	"Agg003"	"FEMALE"	2005	6990
"A"	10	102	1003	"Agg003"	"MALE"	1985	51207
"A"	10	102	1003	"Agg003"	"MALE"	1990	61121
"A"	10	102	1003	"Agg003"	"MALE"	1995	59539
"A"	10	102	1003	"Agg003"	"MALE"	2000	51660
"A"	10	102	1003	"Agg003"	"MALE"	2005	40975
"A"	10	102	1004	"Agg004"	"FEMALE"	1985	232
"A"	10	102	1004	"Agg004"	"FEMALE"	1990	206
"A"	10	102	1004	"Agg004"	"FEMALE"	1995	458
"A"	10	102	1004	"Agg004"	"FEMALE"	2000	446
"A"	10	102	1004	"Agg004"	"FEMALE"	2005	330
"A"	10	102	1004	"Agg004"	"MALE"	1985	29835
"A"	10	102	1004	"Agg004"	"MALE"	1990	22832
"A"	10	102	1004	"Agg004"	"MALE"	1995	21426
"A"	10	102	1004	"Agg004"	"MALE"	2000	18462
"A"	10	102	1004	"Agg004"	"MALE"	2005	16045
"A"	10	102	1005	"Agg005"	"FEMALE"	1985	2805
"A"	10	102	1005	"Agg005"	"FEMALE"	1990	4876
"A"	10	102	1005	"Agg005"	"FEMALE"	1995	7216
"A"	10	102	1005	"Agg005"	"FEMALE"	2000	7075
"A"	10	102	1005	"Agg005"	"FEMALE"	2005	8637
"A"	10	102	1005	"Agg005"	"MALE"	1985	284513
"A"	10	102	1005	"Agg005"	"MALE"	1990	271303
"A"	10	102	1005	"Agg005"	"MALE"	1995	285396
"A"	10	102	1005	"Agg005"	"MALE"	2000	275860
"A"	10	102	1005	"Agg005"	"MALE"	2005	275401
"A"	10	102	1006	"Agg006"	"FEMALE"	1985	4017
"A"	10	102	1006	"Agg006"	"FEMALE"	1990	6501
"A"	10	102	1006	"Agg006"	"FEMALE"	1995	8662
"A"	10	102	1006	"Agg006"	"FEMALE"	2000	9399
"A"	10	102	1006	"Agg006"	"FEMALE"	2005	9154
"A"	10	102	1006	"Agg006"	"MALE"	1985	307559
"A"	10	102	1006	"Agg006"	"MALE"	1990	311776
"A"	10	102	1006	"Agg006"	"MALE"	1995	336021
"A"	10	102	1006	"Agg006"	"MALE"	2000	342165
"A"	10	102	1006	"Agg006"	"MALE"	2005	294556
"A"	10	102	1007	"Agg007"	"FEMALE"	1985	3702
"A"	10	102	1007	"Agg007"	"FEMALE"	1990	6520
"A"	10	102	1007	"Agg007"	"FEMALE"	1995	6069
"A"	10	102	1007	"Agg007"	"FEMALE"	2000	5956
"A"	10	102	1007	"Agg007"	"FEMALE"	2005	7136
"A"	10	102	1007	"Agg007"	"MALE"	1985	66993
"A"	10	102	1007	"Agg007"	"MALE"	1990	75255
"A"	10	102	1007	"Agg007"	"MALE"	1995	62218
"A"	10	102	1007	"Agg007"	"MALE"	2000	60957
"A"	10	102	1007	"Agg007"	"MALE"	2005	59858
"A"	10	102	1008	"Agg008"	"FEMALE"	1985	5869
"A"	10	102	1008	"Agg008"	"FEMALE"	1990	12344
"A"	10	102	1008	"Agg008"	"FEMALE"	1995	20568
"A"	10	102	1008	"Agg008"	"FEMALE"	2000	21672
"A"	10	102	1008	"Agg008"	"FEMALE"	2005	19993
"A"	10	102	1008	"Agg008"	"MALE"	1985	256721
"A"	10	102	1008	"Agg008"	"MALE"	1990	367754
"A"	10	102	1008	"Agg008"	"MALE"	1995	398054
"A"	10	102	1008	"Agg008"	"MALE"	2000	365612
"A"	10	102	1008	"Agg008"	"MALE"	2005	212693
"A"	10	102	1009	"Agg009"	"FEMALE"	1985	1843
"A"	10	102	1009	"Agg009"	"FEMALE"	1990	2374
"A"	10	102	1009	"Agg009"	"FEMALE"	1995	6723
"A"	10	102	1009	"Agg009"	"FEMALE"	2000	9036
"A"	10	102	1009	"Agg009"	"FEMALE"	2005	6640
"A"	10	102	1009	"Agg009"	"MALE"	1985	305450
"A"	10	102	1009	"Agg009"	"MALE"	1990	336695
"A"	10	102	1009	"Agg009"	"MALE"	1995	474422
"A"	10	102	1009	"Agg009"	"MALE"	2000	501160
"A"	10	102	1009	"Agg009"	"MALE"	2005	300157
"A"	10	102	1010	"Agg010"	"FEMALE"	1985	46319
"A"	10	102	1010	"Agg010"	"FEMALE"	1990	90702
"A"	10	102	1010	"Agg010"	"FEMALE"	1995	83064
"A"	10	102	1010	"Agg010"	"FEMALE"	2000	106584
"A"	10	102	1010	"Agg010"	"FEMALE"	2005	101806
"A"	10	102	1010	"Agg010"	"MALE"	1985	275028
"A"	10	102	1010	"Agg010"	"MALE"	1990	467761
"A"	10	102	1010	"Agg010"	"MALE"	1995	521290
"A"	10	102	1010	"Agg010"	"MALE"	2000	670903
"A"	10	102	1010	"Agg010"	"MALE"	2005	718178
"A"	10	102	1011	"Agg011"	"FEMALE"	1985	3768
"A"	10	102	1011	"Agg011"	"FEMALE"	1990	3647
"A"	10	102	1011	"Agg011"	"FEMALE"	1995	4341
"A"	10	102	1011	"Agg011"	"FEMALE"	2000	3823
"A"	10	102	1011	"Agg011"	"FEMALE"	2005	4706
"A"	10	102	1011	"Agg011"	"MALE"	1985	81785
"A"	10	102	1011	"Agg011"	"MALE"	1990	62067
"A"	10	102	1011	"Agg011"	"MALE"	1995	68771
"A"	10	102	1011	"Agg011"	"MALE"	2000	66172
"A"	10	102	1011	"Agg011"	"MALE"	2005	57357
"A"	10	103	1012	"Agg012"	"FEMALE"	1985	20093
"A"	10	103	1012	"Agg012"	"FEMALE"	1990	24222
"A"	10	103	1012	"Agg012"	"FEMALE"	1995	32373
"A"	10	103	1012	"Agg012"	"FEMALE"	2000	36984
"A"	10	103	1012	"Agg012"	"FEMALE"	2005	44561
"A"	10	103	1012	"Agg012"	"MALE"	1985	162552
