"tab_code","表章項目","cat01_code","従業上の地位７区分_時系列（雇用者明細なし）","cat02_code","総数，男及び女_時系列","cat03_code","職業小分類2005","time_code","時間軸（調査年）","unit","value"
"334","就業者数","100","総数","110","男","0130","1自然科学系研究者","2005000000","2005年","人","120245"
"334","就業者数","100","総数","110","男","0140","2人文・社会科学系研究者","2005000000","2005年","人","4722"
"334","就業者数","100","総数","110","男","0160","3農林水産業・食品技術者","2005000000","2005年","人","40975"
"334","就業者数","100","総数","110","男","0170","4金属製錬技術者","2005000000","2005年","人","16045"
"334","就業者数","100","総数","110","男","0180","5機械・航空機・造船技術者","2005000000","2005年","人","275401"
"334","就業者数","100","総数","110","男","0190","6電気・電子技術者","2005000000","2005年","人","294556"
"334","就業者数","100","総数","110","男","0200","7化学技術者","2005000000","2005年","人","59858"
"334","就業者数","100","総数","110","男","0210","8建築技術者","2005000000","2005年","人","212693"
"334","就業者数","100","総数","110","男","0220","9土木・測量技術者","2005000000","2005年","人","300157"
"334","就業者数","100","総数","110","男","0230","10システムエンジニア","2005000000","2005年","人","659329"
"334","就業者数","100","総数","110","男","0240","11プログラマー","2005000000","2005年","人","58849"
"334","就業者数","100","総数","110","男","0250","12その他の技術者","2005000000","2005年","人","57357"
"334","就業者数","100","総数","110","男","0280","13医師","2005000000","2005年","人","206547"
"334","就業者数","100","総数","110","男","0290","14歯科医師","2005000000","2005年","人","73628"
"334","就業者数","100","総数","110","男","0300","15獣医師","2005000000","2005年","人","16151"
"334","就業者数","100","総数","110","男","0310","16薬剤師","2005000000","2005年","人","59351"
"334","就業者数","100","総数","110","男","0320","17保健師","2005000000","2005年","人","313"
"334","就業者数","100","総数","110","男","0330","18助産師","2005000000","2005年","人","NA"
"334","就業者数","100","総数","110","男","0340","19看護師","2005000000","2005年","人","53691"
"334","就業者数","100","総数","110","男","0350","20診療放射線・エックス線技師","2005000000","2005年","人","36076"
"334","就業者数","100","総数","110","男","0360","21臨床・衛生検査技師","2005000000","2005年","人","21065"
"334","就業者数","100","総数","110","男","0370","22歯科衛生士","2005000000","2005年","人","NA"
"334","就業者数","100","総数","110","男","0380","23歯科技工士","2005000000","2005年","人","41396"
"334","就業者数","100","総数","110","男","0390","24栄養士","2005000000","2005年","人","4363"
"334","就業者数","100","総数","110","男","0400","25あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師","2005000000","2005年","人","77864"
"334","就業者数","100","総数","110","男","0410","26その他の保健医療従事者","2005000000","2005年","人","105208"
"334","就業者数","100","総数","110","男","0430","27保育士","2005000000","2005年","人","9277"
"334","就業者数","100","総数","110","男","0440","28その他の社会福祉専門職業従事者","2005000000","2005年","人","83038"
"334","就業者数","100","総数","110","男","0460","29裁判官，検察官，弁護士","2005000000","2005年","人","19506"
"334","就業者数","100","総数","110","男","0470","30弁理士，司法書士","2005000000","2005年","人","18832"
"334","就業者数","100","総数","110","男","0480","31その他の法務従事者","2005000000","2005年","人","11001"
"334","就業者数","100","総数","110","男","0500","32公認会計士，税理士","2005000000","2005年","人","63627"
"334","就業者数","100","総数","110","男","0510","33社会保険労務士","2005000000","2005年","人","10564"
"334","就業者数","100","総数","110","男","0520","34その他の経営専門職業従事者","2005000000","2005年","人","44004"
"334","就業者数","100","総数","110","男","0540","35幼稚園教員","2005000000","2005年","人","5993"
"334","就業者数","100","総数","110","男","0550","36小学校教員","2005000000","2005年","人","153288"
"334","就業者数","100","総数","110","男","0560","37中学校教員","2005000000","2005年","人","139136"
"334","就業者数","100","総数","110","男","0570","38高等学校教員","2005000000","2005年","人","202372"
"334","就業者数","100","総数","110","男","0580","39大学教員","2005000000","2005年","人","130411"
"334","就業者数","100","総数","110","男","0590","40盲学校・ろう(聾)学校・養護学校教員","2005000000","2005年","人","25216"
"334","就業者数","100","総数","110","男","0600","41その他の教員","2005000000","2005年","人","64611"
"334","就業者数","100","総数","110","男","0620","42宗教家","2005000000","2005年","人","98886"
"334","就業者数","100","総数","110","男","0640","43文芸家，著述家","2005000000","2005年","人","17987"
"334","就業者数","100","総数","110","男","0650","44記者，編集者","2005000000","2005年","人","62973"
"334","就業者数","100","総数","110","男","0670","45彫刻家，画家，工芸美術家","2005000000","2005年","人","21792"
"334","就業者数","100","総数","110","男","0680","46デザイナー","2005000000","2005年","人","94781"
"334","就業者数","100","総数","110","男","0690","47写真家","2005000000","2005年","人","49529"
"334","就業者数","100","総数","110","男","0710","48音楽家(個人に教授するものを除く)","2005000000","2005年","人","14692"
"334","就業者数","100","総数","110","男","0720","49音楽家(個人に教授するもの)","2005000000","2005年","人","8928"
"334","就業者数","100","総数","110","男","0730","50俳優，舞踊家，演芸家(個人に教授するものを除く)","2005000000","2005年","人","37287"
"334","就業者数","100","総数","110","男","0740","51俳優，舞踊家，演芸家(個人に教授するもの)","2005000000","2005年","人","5348"
"334","就業者数","100","総数","110","男","0760","52個人教師(学習指導)","2005000000","2005年","人","96781"
"334","就業者数","100","総数","110","男","0770","53個人教師(他に分類されないもの)","2005000000","2005年","人","31571"
"334","就業者数","100","総数","110","男","0780","54職業スポーツ従事者(個人に教授するものを除く)","2005000000","2005年","人","11655"
"334","就業者数","100","総数","110","男","0790","55職業スポーツ従事者(個人に教授するもの)","2005000000","2005年","人","40904"
"334","就業者数","100","総数","110","男","0800","56他に分類されない専門的・技術的職業従事者","2005000000","2005年","人","144724"
"334","就業者数","100","総数","110","男","0830","57管理的公務員","2005000000","2005年","人","69625"
"334","就業者数","100","総数","110","男","0850","58会社役員","2005000000","2005年","人","905756"
"334","就業者数","100","総数","110","男","0860","59その他の法人・団体役員","2005000000","2005年","人","40470"
"334","就業者数","100","総数","110","男","0880","60会社・団体等管理的職業従事者","2005000000","2005年","人","277321"
"334","就業者数","100","総数","110","男","0890","61他に分類されない管理的職業従事者","2005000000","2005年","人","28432"
"334","就業者数","100","総数","110","男","0920","62一般事務員","2005000000","2005年","人","3906741"
"334","就業者数","100","総数","110","男","0930","63会計事務員","2005000000","2005年","人","488644"
"334","就業者数","100","総数","110","男","0950","64集金人","2005000000","2005年","人","18861"
"334","就業者数","100","総数","110","男","0960","65その他の外勤事務従事者","2005000000","2005年","人","9118"
"334","就業者数","100","総数","110","男","0980","66運輸事務員","2005000000","2005年","人","134774"
"334","就業者数","100","総数","110","男","0990","67郵便・通信事務員","2005000000","2005年","人","76252"
"334","就業者数","100","総数","110","男","1010","68速記者，タイピスト，ワードプロセッサ操作員","2005000000","2005年","人","1345"
"334","就業者数","100","総数","110","男","1020","69キーパンチャー","2005000000","2005年","人","10110"
"334","就業者数","100","総数","110","男","1030","70電子計算機等オペレーター","2005000000","2005年","人","49870"
"334","就業者数","100","総数","110","男","1060","71小売店主","2005000000","2005年","人","476408"
"334","就業者数","100","総数","110","男","1070","72卸売店主","2005000000","2005年","人","91865"
"334","就業者数","100","総数","110","男","1080","73飲食店主","2005000000","2005年","人","118092"
"334","就業者数","100","総数","110","男","1090","74販売店員","2005000000","2005年","人","1259907"
"334","就業者数","100","総数","110","男","1100","75商品訪問・移動販売従事者","2005000000","2005年","人","40031"
"334","就業者数","100","総数","110","男","1110","76再生資源卸売・回収従事者","2005000000","2005年","人","30321"
"334","就業者数","100","総数","110","男","1120","77商品販売外交員","2005000000","2005年","人","1899543"
"334","就業者数","100","総数","110","男","1130","78商品仲立人","2005000000","2005年","人","3431"
"334","就業者数","100","総数","110","男","1150","79不動産仲介・売買人","2005000000","2005年","人","253915"
"334","就業者数","100","総数","110","男","1160","80保険代理人・外交員","2005000000","2005年","人","173277"
"334","就業者数","100","総数","110","男","1170","81外交員(商品，保険，不動産を除く)","2005000000","2005年","人","1095596"
"334","就業者数","100","総数","110","男","1180","82その他の販売類似職業従事者","2005000000","2005年","人","95600"
"334","就業者数","100","総数","110","男","1210","83家政婦(夫)，家事手伝い","2005000000","2005年","人","368"
"334","就業者数","100","総数","110","男","1220","84ホームヘルパー","2005000000","2005年","人","20956"
"334","就業者数","100","総数","110","男","1230","85その他の家庭生活支援サービス職業従事者","2005000000","2005年","人","2320"
"334","就業者数","100","総数","110","男","1250","86理容師(助手を含む)","2005000000","2005年","人","127056"
"334","就業者数","100","総数","110","男","1260","87美容師(助手を含む)","2005000000","2005年","人","88352"
"334","就業者数","100","総数","110","男","1270","88浴場従事者","2005000000","2005年","人","15177"
"334","就業者数","100","総数","110","男","1280","89クリーニング職，洗張職","2005000000","2005年","人","62512"
"334","就業者数","100","総数","110","男","1300","90調理人","2005000000","2005年","人","833437"
"334","就業者数","100","総数","110","男","1310","91バーテンダー","2005000000","2005年","人","8062"
"334","就業者数","100","総数","110","男","1330","92飲食物給仕・身の回り世話従事者","2005000000","2005年","人","243832"
"334","就業者数","100","総数","110","男","1340","93接客社交従事者","2005000000","2005年","人","2558"
"334","就業者数","100","総数","110","男","1350","94芸者，ダンサー","2005000000","2005年","人","142"
"334","就業者数","100","総数","110","男","1360","95娯楽場等接客員","2005000000","2005年","人","194786"
"334","就業者数","100","総数","110","男","1370","96旅館主・支配人・番頭","2005000000","2005年","人","26890"
"334","就業者数","100","総数","110","男","1390","97マンション・アパート・下宿・寄宿舎・寮管理人","2005000000","2005年","人","80357"
"334","就業者数","100","総数","110","男","1400","98ビル管理人","2005000000","2005年","人","43348"
"334","就業者数","100","総数","110","男","1410","99駐車場管理人","2005000000","2005年","人","44952"
"334","就業者数","100","総数","110","男","1430","100旅行・観光案内人","2005000000","2005年","人","8117"
"334","就業者数","100","総数","110","男","1440","101物品一時預り人","2005000000","2005年","人","10682"
"334","就業者数","100","総数","110","男","1450","102物品賃貸人","2005000000","2005年","人","35901"
"334","就業者数","100","総数","110","男","1460","103広告宣伝員","2005000000","2005年","人","6394"
"334","就業者数","100","総数","110","男","1470","104葬儀師，火葬作業員","2005000000","2005年","人","23780"
"334","就業者数","100","総数","110","男","1480","105介護職員(治療施設，福祉施設)","2005000000","2005年","人","164075"
"334","就業者数","100","総数","110","男","1490","106他に分類されないサービス職業従事者","2005000000","2005年","人","44200"
"334","就業者数","100","総数","110","男","1520","107自衛官","2005000000","2005年","人","225832"
"334","就業者数","100","総数","110","男","1530","108警察官，海上保安官","2005000000","2005年","人","238961"
"334","就業者数","100","総数","110","男","1540","109看守，その他の司法警察職員","2005000000","2005年","人","14101"
"334","就業者数","100","総数","110","男","1550","110消防員","2005000000","2005年","人","145167"
"334","就業者数","100","総数","110","男","1560","111警備員","2005000000","2005年","人","320543"
"334","就業者数","100","総数","110","男","1570","112その他の保安職業従事者","2005000000","2005年","人","62314"
"334","就業者数","100","総数","110","男","1600","113農耕・養蚕作業者","2005000000","2005年","人","1289908"
"334","就業者数","100","総数","110","男","1610","114養畜作業者","2005000000","2005年","人","124584"
"334","就業者数","100","総数","110","男","1620","115植木職，造園師","2005000000","2005年","人","114318"
"334","就業者数","100","総数","110","男","1630","116その他の農業作業者","2005000000","2005年","人","5258"
"334","就業者数","100","総数","110","男","1650","117育林作業者","2005000000","2005年","人","26294"
"334","就業者数","100","総数","110","男","1660","118伐木・造材・運材作業者","2005000000","2005年","人","17703"
"334","就業者数","100","総数","110","男","1670","119その他の林業作業者","2005000000","2005年","人","3688"
"334","就業者数","100","総数","110","男","1690","120漁労作業者","2005000000","2005年","人","93164"
"334","就業者数","100","総数","110","男","1700","121船長・航海士・機関長・機関士(漁労船)","2005000000","2005年","人","13925"
"334","就業者数","100","総数","110","男","1710","122海草・貝採取作業者","2005000000","2005年","人","14441"
"334","就業者数","100","総数","110","男","1720","123水産養殖作業者","2005000000","2005年","人","34658"
"334","就業者数","100","総数","110","男","1730","124その他の漁業作業者","2005000000","2005年","人","2018"
"334","就業者数","100","総数","110","男","1760","125鉄道運転従事者","2005000000","2005年","人","40118"
"334","就業者数","100","総数","110","男","1780","126自動車運転者","2005000000","2005年","人","1685922"
"334","就業者数","100","総数","110","男","1800","127船長・航海士・運航士(漁労船を除く)，水先人","2005000000","2005年","人","19457"
"334","就業者数","100","総数","110","男","1810","128船舶機関長・機関士(漁労船を除く)","2005000000","2005年","人","9504"
"334","就業者数","100","総数","110","男","1820","129航空機操縦士，航空機関士","2005000000","2005年","人","6200"
"334","就業者数","100","総数","110","男","1840","130車掌","2005000000","2005年","人","19840"
"334","就業者数","100","総数","110","男","1850","131甲板員，船舶技士・機関員","2005000000","2005年","人","16668"
"334","就業者数","100","総数","110","男","1860","132フォークリフト運転者","2005000000","2005年","人","95001"
"334","就業者数","100","総数","110","男","1870","133他に分類されない運輸従事者","2005000000","2005年","人","9771"
"334","就業者数","100","総数","110","男","1900","134通信技術従事者","2005000000","2005年","人","12211"
"334","就業者数","100","総数","110","男","1910","135電話交換手","2005000000","2005年","人","221"
"334","就業者数","100","総数","110","男","1920","136郵便・電報外務員","2005000000","2005年","人","113592"
"334","就業者数","100","総数","110","男","1930","137その他の通信従事者","2005000000","2005年","人","4996"
"334","就業者数","100","総数","110","男","1970","138製銑・製鋼作業者","2005000000","2005年","人","28620"
"334","就業者数","100","総数","110","男","1980","139非鉄金属製錬作業者","2005000000","2005年","人","16003"
"334","就業者数","100","総数","110","男","1990","140鋳物製造作業者","2005000000","2005年","人","34198"
"334","就業者数","100","総数","110","男","2000","141鍛造作業者","2005000000","2005年","人","14020"
"334","就業者数","100","総数","110","男","2010","142金属熱処理作業者","2005000000","2005年","人","14066"
"334","就業者数","100","総数","110","男","2020","143圧延作業者","2005000000","2005年","人","30284"
"334","就業者数","100","総数","110","男","2030","144伸線作業者","2005000000","2005年","人","3806"
"334","就業者数","100","総数","110","男","2040","145その他の金属材料製造作業者","2005000000","2005年","人","48071"
"334","就業者数","100","総数","110","男","2060","146化学工","2005000000","2005年","人","109347"
"334","就業者数","100","総数","110","男","2070","147その他の化学製品製造作業者","2005000000","2005年","人","102024"
"334","就業者数","100","総数","110","男","2090","148ガラス製品成形作業者","2005000000","2005年","人","20235"
"334","就業者数","100","総数","110","男","2100","149れんが・かわら・土管製造作業者","2005000000","2005年","人","7466"
"334","就業者数","100","総数","110","男","2110","150陶磁器製造作業者","2005000000","2005年","人","25920"
"334","就業者数","100","総数","110","男","2120","151窯業絵付作業者","2005000000","2005年","人","1833"
"334","就業者数","100","総数","110","男","2130","152セメント製造作業者","2005000000","2005年","人","3626"
"334","就業者数","100","総数","110","男","2140","153セメント製品製造作業者","2005000000","2005年","人","38422"
"334","就業者数","100","総数","110","男","2150","154石工","2005000000","2005年","人","33584"
"334","就業者数","100","総数","110","男","2160","155その他の窯業・土石製品製造作業者","2005000000","2005年","人","66594"
"334","就業者数","100","総数","110","男","2180","156金属工作機械作業者","2005000000","2005年","人","213967"
"334","就業者数","100","総数","110","男","2190","157金属プレス作業者","2005000000","2005年","人","86687"
"334","就業者数","100","総数","110","男","2200","158金属溶接・溶断作業者","2005000000","2005年","人","208837"
"334","就業者数","100","総数","110","男","2210","159鉄工，製缶作業者","2005000000","2005年","人","89550"
"334","就業者数","100","総数","110","男","2220","160板金作業者","2005000000","2005年","人","105369"
"334","就業者数","100","総数","110","男","2230","161めっき作業者","2005000000","2005年","人","31997"
"334","就業者数","100","総数","110","男","2240","162その他の金属加工作業者","2005000000","2005年","人","528664"
"334","就業者数","100","総数","110","男","2260","163一般機械器具組立作業者","2005000000","2005年","人","530208"
"334","就業者数","100","総数","110","男","2270","164一般機械器具修理作業者","2005000000","2005年","人","388857"
"334","就業者数","100","総数","110","男","2290","165電気機械器具組立作業者","2005000000","2005年","人","343656"
"334","就業者数","100","総数","110","男","2300","166電気機械器具修理作業者","2005000000","2005年","人","135146"
"334","就業者数","100","総数","110","男","2310","167電球・電子管組立作業者","2005000000","2005年","人","8794"
"334","就業者数","100","総数","110","男","2320","168被覆電線製造作業者","2005000000","2005年","人","14464"
"334","就業者数","100","総数","110","男","2330","169半導体製品製造作業者","2005000000","2005年","人","78097"
"334","就業者数","100","総数","110","男","2340","170その他の電気機械器具組立・修理作業者","2005000000","2005年","人","117177"
"334","就業者数","100","総数","110","男","2360","171自動車組立作業者","2005000000","2005年","人","107312"
"334","就業者数","100","総数","110","男","2370","172自動車整備作業者","2005000000","2005年","人","447404"
"334","就業者数","100","総数","110","男","2380","173航空機組立・整備作業者","2005000000","2005年","人","21142"
"334","就業者数","100","総数","110","男","2390","174鉄道車両組立・修理作業者","2005000000","2005年","人","25536"
"334","就業者数","100","総数","110","男","2400","175自転車組立・修理作業者","2005000000","2005年","人","16669"
"334","就業者数","100","総数","110","男","2410","176船舶ぎ装作業者(他に分類されないもの)","2005000000","2005年","人","13294"
"334","就業者数","100","総数","110","男","2420","177その他の輸送機械組立・修理作業者","2005000000","2005年","人","58425"
"334","就業者数","100","総数","110","男","2440","178計量計測機器組立・修理作業者","2005000000","2005年","人","24846"
"334","就業者数","100","総数","110","男","2450","179時計組立・修理作業者","2005000000","2005年","人","10650"
"334","就業者数","100","総数","110","男","2460","180光学機械器具組立・修理作業者","2005000000","2005年","人","18371"
"334","就業者数","100","総数","110","男","2470","181レンズ研磨・調整作業者","2005000000","2005年","人","9412"
"334","就業者数","100","総数","110","男","2480","182その他の計量計測機器・光学機械器具組立・修理作業者","2005000000","2005年","人","22045"
"334","就業者数","100","総数","110","男","2500","183精穀・製粉作業者","2005000000","2005年","人","14696"
"334","就業者数","100","総数","110","男","2510","184味そ・しょう油製造作業者","2005000000","2005年","人","8676"
"334","就業者数","100","総数","110","男","2520","185めん類製造作業者","2005000000","2005年","人","18188"
"334","就業者数","100","総数","110","男","2530","186パン・菓子製造作業者","2005000000","2005年","人","154722"
"334","就業者数","100","総数","110","男","2540","187豆腐・こんにゃく・ふ製造作業者","2005000000","2005年","人","22528"
"334","就業者数","100","総数","110","男","2550","188缶詰・瓶詰・レトルト食品製造作業者","2005000000","2005年","人","4597"
"334","就業者数","100","総数","110","男","2560","189乳・乳製品製造作業者","2005000000","2005年","人","13652"
"334","就業者数","100","総数","110","男","2570","190水産物加工作業者","2005000000","2005年","人","67263"
"334","就業者数","100","総数","110","男","2580","191その他の食料品製造作業者","2005000000","2005年","人","217741"
"334","就業者数","100","総数","110","男","2600","192製茶作業者","2005000000","2005年","人","5245"
"334","就業者数","100","総数","110","男","2610","193酒類製造作業者","2005000000","2005年","人","13279"
"334","就業者数","100","総数","110","男","2620","194清涼飲料製造作業者","2005000000","2005年","人","12575"
"334","就業者数","100","総数","110","男","2630","195たばこ製造作業者","2005000000","2005年","人","1773"
"334","就業者数","100","総数","110","男","2640","196その他の飲料・たばこ製造作業者","2005000000","2005年","人","7939"
"334","就業者数","100","総数","110","男","2660","197粗紡・精紡作業者","2005000000","2005年","人","2141"
"334","就業者数","100","総数","110","男","2670","198合糸・ねん糸・加工糸作業者","2005000000","2005年","人","3973"
"334","就業者数","100","総数","110","男","2680","199織機準備作業者","2005000000","2005年","人","2041"
"334","就業者数","100","総数","110","男","2690","200織布作業者","2005000000","2005年","人","16971"
"334","就業者数","100","総数","110","男","2700","201精練・漂白・染色作業者","2005000000","2005年","人","25908"
"334","就業者数","100","総数","110","男","2710","202編物・編立作業者","2005000000","2005年","人","7402"
"334","就業者数","100","総数","110","男","2720","203製綱・製網作業者(繊維製)","2005000000","2005年","人","4045"
"334","就業者数","100","総数","110","男","2730","204その他の紡織作業者","2005000000","2005年","人","19648"
"334","就業者数","100","総数","110","男","2750","205成人女子・子供服仕立作業者","2005000000","2005年","人","1998"
"334","就業者数","100","総数","110","男","2760","206成人男子服仕立作業者","2005000000","2005年","人","6209"
"334","就業者数","100","総数","110","男","2770","207和服仕立作業者","2005000000","2005年","人","1800"
"334","就業者数","100","総数","110","男","2780","208刺しゅう作業者","2005000000","2005年","人","3535"
"334","就業者数","100","総数","110","男","2790","209ミシン縫製作業者","2005000000","2005年","人","33156"
"334","就業者数","100","総数","110","男","2800","210裁断作業者","2005000000","2005年","人","10859"
"334","就業者数","100","総数","110","男","2810","211その他の衣服・繊維製品製造作業者","2005000000","2005年","人","32258"
"334","就業者数","100","総数","110","男","2830","212製材・チップ製造作業者","2005000000","2005年","人","40224"
"334","就業者数","100","総数","110","男","2840","213合板作業者","2005000000","2005年","人","15444"
"334","就業者数","100","総数","110","男","2850","214木工","2005000000","2005年","人","21723"
"334","就業者数","100","総数","110","男","2860","215木製家具・建具製造作業者","2005000000","2005年","人","97757"
"334","就業者数","100","総数","110","男","2870","216竹・草・つる製品製造作業者","2005000000","2005年","人","6510"
"334","就業者数","100","総数","110","男","2880","217その他の木・竹・草・つる製品製造作業者","2005000000","2005年","人","29367"
"334","就業者数","100","総数","110","男","2900","218パルプ・紙料製造作業者","2005000000","2005年","人","9755"
"334","就業者数","100","総数","110","男","2910","219紙すき作業者","2005000000","2005年","人","14950"
"334","就業者数","100","総数","110","男","2920","220紙器製造作業者","2005000000","2005年","人","33719"
"334","就業者数","100","総数","110","男","2930","221紙製品製造作業者","2005000000","2005年","人","5966"
"334","就業者数","100","総数","110","男","2940","222その他のパルプ・紙・紙製品製造作業者","2005000000","2005年","人","47716"
"334","就業者数","100","総数","110","男","2960","223文字組版作業者","2005000000","2005年","人","2401"
"334","就業者数","100","総数","110","男","2970","224製版作業者","2005000000","2005年","人","35009"
"334","就業者数","100","総数","110","男","2980","225印刷作業者","2005000000","2005年","人","141412"
"334","就業者数","100","総数","110","男","2990","226製本作業者","2005000000","2005年","人","23837"
"334","就業者数","100","総数","110","男","3000","227その他の印刷・製本作業者","2005000000","2005年","人","25912"
"334","就業者数","100","総数","110","男","3020","228ゴム製品成形作業者","2005000000","2005年","人","60911"
"334","就業者数","100","総数","110","男","3030","229プラスチック製品成形・加工・仕上作業者","2005000000","2005年","人","171848"
"334","就業者数","100","総数","110","男","3040","230その他のゴム・プラスチック製品製造作業者","2005000000","2005年","人","47188"
"334","就業者数","100","総数","110","男","3060","231製革作業者","2005000000","2005年","人","2331"
"334","就業者数","100","総数","110","男","3070","232靴製造・修理作業者","2005000000","2005年","人","13747"
"334","就業者数","100","総数","110","男","3080","233その他の革・革製品製造作業者","2005000000","2005年","人","3971"
"334","就業者数","100","総数","110","男","3100","234かばん・袋物製造作業者","2005000000","2005年","人","8958"
"334","就業者数","100","総数","110","男","3110","235がん具製造作業者","2005000000","2005年","人","4531"
"334","就業者数","100","総数","110","男","3120","236漆塗師，まき絵師","2005000000","2005年","人","5778"
"334","就業者数","100","総数","110","男","3130","237貴金属・宝石・甲・角等細工作業者","2005000000","2005年","人","15250"
"334","就業者数","100","総数","110","男","3140","238印判師","2005000000","2005年","人","5718"
"334","就業者数","100","総数","110","男","3150","239内張作業者","2005000000","2005年","人","11980"
"334","就業者数","100","総数","110","男","3160","240表具師","2005000000","2005年","人","50341"
"334","就業者数","100","総数","110","男","3170","241塗装作業者，画工，看板制作作業者","2005000000","2005年","人","280136"
"334","就業者数","100","総数","110","男","3180","242写真現像・焼付・引伸し作業者","2005000000","2005年","人","10930"
"334","就業者数","100","総数","110","男","3190","243製図・写図・現図作業者","2005000000","2005年","人","259057"
"334","就業者数","100","総数","110","男","3200","244包装作業者","2005000000","2005年","人","49916"
"334","就業者数","100","総数","110","男","3210","245他に分類されない製造・制作作業者","2005000000","2005年","人","211294"
"334","就業者数","100","総数","110","男","3240","246ボイラーオペレーター","2005000000","2005年","人","18319"
"334","就業者数","100","総数","110","男","3250","247クレーン・ウインチ運転作業者","2005000000","2005年","人","59865"
"334","就業者数","100","総数","110","男","3260","248建設機械運転作業者","2005000000","2005年","人","117721"
"334","就業者数","100","総数","110","男","3270","249その他の定置機関・機械及び建設機械運転作業者","2005000000","2005年","人","118527"
"334","就業者数","100","総数","110","男","3290","250発電員，変電員","2005000000","2005年","人","43776"
"334","就業者数","100","総数","110","男","3300","251電線架線・敷設作業者","2005000000","2005年","人","52193"
"334","就業者数","100","総数","110","男","3310","252電気通信設備工事作業者","2005000000","2005年","人","92508"
"334","就業者数","100","総数","110","男","3320","253電気工事作業者","2005000000","2005年","人","396594"
"334","就業者数","100","総数","110","男","3330","254その他の電気作業者","2005000000","2005年","人","21377"
"334","就業者数","100","総数","110","男","3360","255砂利・砂・粘土採取作業者","2005000000","2005年","人","5617"
"334","就業者数","100","総数","110","男","3370","256その他の採掘作業者","2005000000","2005年","人","25938"
"334","就業者数","100","総数","110","男","3390","257大工","2005000000","2005年","人","534387"
"334","就業者数","100","総数","110","男","3400","258とび職","2005000000","2005年","人","114014"
"334","就業者数","100","総数","110","男","3410","259ブロック積・タイル張作業者","2005000000","2005年","人","47866"
"334","就業者数","100","総数","110","男","3420","260屋根ふき作業者","2005000000","2005年","人","31882"
"334","就業者数","100","総数","110","男","3430","261左官","2005000000","2005年","人","121271"
"334","就業者数","100","総数","110","男","3440","262配管作業者","2005000000","2005年","人","308675"
"334","就業者数","100","総数","110","男","3450","263畳職","2005000000","2005年","人","20823"
"334","就業者数","100","総数","110","男","3460","264土木作業者","2005000000","2005年","人","709029"
"334","就業者数","100","総数","110","男","3470","265鉄道線路工事作業者","2005000000","2005年","人","23617"
"334","就業者数","100","総数","110","男","3480","266その他の建設作業者","2005000000","2005年","人","611608"
"334","就業者数","100","総数","110","男","3500","267船内・沿岸荷役作業者","2005000000","2005年","人","16551"
"334","就業者数","100","総数","110","男","3510","268陸上荷役・運搬作業者","2005000000","2005年","人","179428"
